Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Antonio Abati | Abati, Antonio  | 730327 | 1600 | italiano
Giuseppe Cesare Abba | Abba, Giuseppe Cesare  | 702527 | 1800 | italiano
Luisa Accati | Accati, Luisa  | 4454738 | 1900 | italiana
Torquato Accetto | Accetto, Torquato  | 107902 | 1600 | italiano
Giuseppe Adami | Adami, Giuseppe  | 1780055 | 1800 | italiano
Augusto Agabiti | Agabiti, Augusto  | 2962333 | 1800 | italiano
Vittoria Aganoor | Aganoor, Vittoria  | 126668 | 1800 | italiana
Paolo Agaraff | Agaraff, Paolo  | 302433 | 2000 | italiano
Camillo Agrippa | Agrippa, Camillo  | 2029555 | 1500 | italiano
Antonio Alamanni | Alamanni, Antonio  | 3475330 | 1400 | italiano
Francesco Albergati Capacelli | Albergati Capacelli, Francesco  | 107907 | 1700 | italiano
Charles Albert | Albert, Charles  | 6143841 | -1 | Non pervenuta
Adolfo Albertazzi | Albertazzi, Adolfo  | 841131 | 1900 | italiano
Pilo Albertelli | Albertelli, Pilo  | 1577746 | 1900 | italiano
Leandro Alberti | Alberti, Leandro  | 107928 | 1500 | italiano
Leon Battista Alberti | Alberti, Leon Battista  | 52369 | 1400 | italiano
Giuseppe Albini | Albini, Giuseppe  | 3820245 | -1 | Non pervenuta
Louisa May Alcott | Alcott, Louisa May  | 70344 | 1800 | statunitense
Aleardo Aleardi | Aleardi, Aleardo  | 46622 | 1800 | italiano
Vittorio Alfieri | Alfieri, Vittorio  | 706823 | 1700 | italiano
Francesco Algarotti | Algarotti, Francesco  | 72986 | 1700 | italiano
Dante Alighieri | Alighieri, Dante  | 1476868 | -1 | Non pervenuta
Jacopo Alighieri | Alighieri, Jacopo  | 1492888 | 1300 | italiano
Luigi Amabile | Amabile, Luigi  | 1706977 | 1800 | italiano
Giovanni Battista Amalteo | Amalteo, Giovanni Battista  | 1108185 | 1500 | italiano
Michele Amari | Amari, Michele  | 200521 | 1800 | italiano
Cosimo Amidei | Amidei, Cosimo  | 1149834 | 1700 | italiano
Federico Amodeo | Amodeo, Federico  | 21525 | 1800 | italiano
Hans Christian Andersen | Andersen, Hans Christian  | 131475 | -1 | danese
Andrea da Barberino | Andrea da Barberino  | 2019374 | 1300 | italiano
Cecco Angiolieri | Angiolieri, Cecco  | 2777094 | 1200 | italiano
Antonino Anile | Anile, Antonino  | 1843422 | 1900 | italiano
Camillo Antona Traversi | Antona Traversi, Camillo  | 4107132 | 1800 | italiano
Luigi Antonelli | Antonelli, Luigi  | 2642956 | 1800 | italiano
Mario Appelius | Appelius, Mario  | 779246 | 1900 | italiano
Apuleius | Apuleius  | 5688980 | -1 | Non pervenuta
Anton Stepanovič Arenskij | Arenskij, Anton Stepanovič  | 3081744 | 1800 | russo
Pietro Aretino | Aretino, Pietro  | 140719 | 1500 | italiano
Ludovico Ariosto | Ariosto, Ludovico  | 718790 | 1500 | italiano
Aristoteles | Aristoteles  | 5682541 | -1 | Non pervenuta
Leopoldo Armaroli | Armaroli , Leopoldo  | 4674934 | 1700 | italiano
Svante August Arrhenius | Arrhenius, Svante August  | 116122 | -1 | Non pervenuta
Ettore Arrigoni degli Oddi | Arrigoni degli Oddi, Ettore  | 3034042 | -1 | italiano
Emanuele Artom | Artom, Emanuele  | 1810177 | 1900 | italiano
Pellegrino Artusi | Artusi, Pellegrino  | 144813 | 1800 | italiano
Pëtr Andreevič Aršinov | Aršinov, Pëtr Andreevič  | 1793689 | 1900 | russo
Daniel-François-Esprit Auber | Auber, Daniel-François-Esprit  | 2541131 | -1 | Non pervenuta
Edmond Audran | Audran, Edmond  | 4314671 | 1800 | francese
Avancinio Avancini | Avancini, Avancinio  | 4993827 | 1800 | italiano
Luigi Angiolini | Luigi Angiolini  | 456855 | 1700 | italiano
