Giuseppe Cesare Abba | Abba, Giuseppe Cesare  | 702527 | 1800 | italiano | 1838 | 1910 | M | M|scrittore|patriota
Luisa Accati | Accati, Luisa  | 4454738 | 1900 | italiana | 1942 |  | F | F|storica|antropologa
Giuseppe Adami | Adami, Giuseppe  | 1780055 | 1800 | italiano | 1878 | 1946 | M | M|drammaturgo|librettista
Augusto Agabiti | Agabiti, Augusto  | 2962333 | 1800 | italiano | 1879 | 1918 | M | M|teosofo|non trovata
Vittoria Aganoor | Aganoor, Vittoria  | 126668 | 1800 | italiana | 1855 | 1910 | F | F|poetessa|non trovata
Paolo Agaraff | Agaraff, Paolo  | 302433 | 2000 | italiano | 1969 |  | M | M|scrittore|autore di fantascienza
Adolfo Albertazzi | Albertazzi, Adolfo  | 841131 | 1900 | italiano | 1865 | 1924 | M | M|scrittore|non trovata
Pilo Albertelli | Albertelli, Pilo  | 1577746 | 1900 | italiano | 1907 | 1944 | M | M|insegnante|partigiano
Aleardo Aleardi | Aleardi, Aleardo  | 46622 | 1800 | italiano | 1812 | 1878 | M | M|poeta|politico
Luigi Amabile | Amabile, Luigi  | 1706977 | 1800 | italiano | 1828 | 1892 | M | M|medico|storico
Michele Amari | Amari, Michele  | 200521 | 1800 | italiano | 1806 | 1889 | M | M|storico|politico
Federico Amodeo | Amodeo, Federico  | 21525 | 1800 | italiano | 1859 | 1946 | M | M|matematico|non trovata
Antonino Anile | Anile, Antonino  | 1843422 | 1900 | italiano | 1869 | 1943 | M | M|anatomista|letterato
Camillo Antona Traversi | Antona Traversi, Camillo  | 4107132 | 1800 | italiano | 1857 | 1934 | M | M|commediografo|critico letterario
Luigi Antonelli | Antonelli, Luigi  | 2642956 | 1800 | italiano | 1877 | 1942 | M | M|drammaturgo|non trovata
Mario Appelius | Appelius, Mario  | 779246 | 1900 | italiano | 1892 | 1946 | M | M|giornalista|conduttore radiofonico
Emanuele Artom | Artom, Emanuele  | 1810177 | 1900 | italiano | 1915 | 1944 | M | M|partigiano|storico
Pellegrino Artusi | Artusi, Pellegrino  | 144813 | 1800 | italiano | 1820 | 1911 | M | M|scrittore|gastronomo
Avancinio Avancini | Avancini, Avancinio  | 4993827 | 1800 | italiano | 1866 | 1939 | M | M|scrittore|giornalista
Ida Baccini | Baccini, Ida  | 4454818 | 1800 | italiana | 1850 | 1911 | F | F|scrittrice|giornalista
Niccolò Bacigalupo | Bacigalupo, Niccolò  | 1497844 | 1900 | italiano | 1837 | 1904 | M | M|poeta|drammaturgo
Cesare Balbo | Balbo, Cesare  | 248006 | 1800 | italiano | 1789 | 1853 | M | M|politico|scrittore
Giuseppe Bandi | Bandi, Giuseppe  | 772588 | 1800 | italiano | 1834 | 1894 | M | M|patriota|scrittore
Pierangelo Baratono | Baratono, Pierangelo  | 5200613 | 1900 | italiano | 1880 | 1927 | M | M|giornalista|scrittore
Berto Barbarani | Barbarani, Berto  | 1371051 | 1900 | italiano | 1872 | 1945 | M | M|poeta|non trovata
Eugenio Barbarich | Barbarich, Eugenio  | 1113847 | 1800 | italiano | 1863 | 1931 | M | M|generale|scrittore
Ulisse Barbieri | Barbieri, Ulisse  | 3554512 | 1800 | italiano | 1842 | 1899 | M | M|drammaturgo|scrittore
Carmela Baricelli | Baricelli, Carmela  | 3250554 | 1800 | italiana | 1861 | 1946 | F | F|insegnante|giornalista
Anton Giulio Barrili | Barrili, Anton Giulio  | 445666 | 1800 | italiano | 1836 | 1908 | M | M|patriota|scrittore
Ambrogio Bazzero | Bazzero, Ambrogio  | 4050178 | 1800 | italiano | 1851 | 1882 | M | M|scrittore|poeta
Giambattista Bazzoni | Bazzoni, Giambattista  | 1886533 | 1800 | italiano | 1803 | 1850 | M | M|scrittore|patriota
Antonella Beccaria | Beccaria, Antonella  | 4455158 | 1900 | italiana | 1973 |  | F | F|giornalista|scrittrice
Giacomo Bellacchi | Bellacchi, Giacomo  | 23198 | 1800 | italiano | 1838 | 1924 | M | M|matematico|non trovata
Giuseppe Gioachino Belli | Belli, Giuseppe Gioachino  | 50708 | 1800 | italiano | 1791 | 1863 | M | M|poeta|non trovata
Vincenzo Bellini | Bellini, Vincenzo  | 109726 | 1800 | italiano | 1801 | 1835 | M | M|compositore|non trovata
