Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Antonio Abati | Abati, Antonio  | 730327 | 1600 | italiano | inizio [[XVII secolo]] | 1667 | M | M
Giuseppe Cesare Abba | Abba, Giuseppe Cesare  | 702527 | 1800 | italiano | 1838 | 1910 | M | M
Luisa Accati | Accati, Luisa  | 4454738 | 1900 | italiana | 1942 |  | F | F
Torquato Accetto | Accetto, Torquato  | 107902 | 1600 | italiano | [[1590]]/[[1598|98]] circa | 1640 | M | M
Giuseppe Adami | Adami, Giuseppe  | 1780055 | 1800 | italiano | 1878 | 1946 | M | M
Augusto Agabiti | Agabiti, Augusto  | 2962333 | 1800 | italiano | 1879 | 1918 | M | M
Vittoria Aganoor | Aganoor, Vittoria  | 126668 | 1800 | italiana | 1855 | 1910 | F | F
Paolo Agaraff | Agaraff, Paolo  | 302433 | 2000 | italiano | 1969 |  | M | M
Camillo Agrippa | Agrippa, Camillo  | 2029555 | 1500 | italiano | prima del [[1535]] | dopo il [[1595]] | M | M
Antonio Alamanni | Alamanni, Antonio  | 3475330 | 1400 | italiano | 1464 | 1528 | M | M
Francesco Albergati Capacelli | Albergati Capacelli, Francesco  | 107907 | 1700 | italiano | 1728 | 1804 | M | M
Charles Albert | Albert, Charles  | 6143841 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Adolfo Albertazzi | Albertazzi, Adolfo  | 841131 | 1900 | italiano | 1865 | 1924 | M | M
Pilo Albertelli | Albertelli, Pilo  | 1577746 | 1900 | italiano | 1907 | 1944 | M | M
Leandro Alberti | Alberti, Leandro  | 107928 | 1500 | italiano | 1479 | 1552 | M | M
Leon Battista Alberti | Alberti, Leon Battista  | 52369 | 1400 | italiano | 1404 | 1472 | M | M
Giuseppe Albini | Albini, Giuseppe  | 3820245 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Louisa May Alcott | Alcott, Louisa May  | 70344 | 1800 | statunitense | 1832 | 1888 | F | F
Aleardo Aleardi | Aleardi, Aleardo  | 46622 | 1800 | italiano | 1812 | 1878 | M | M
Vittorio Alfieri | Alfieri, Vittorio  | 706823 | 1700 | italiano | 1749 | 1803 | M | M
Francesco Algarotti | Algarotti, Francesco  | 72986 | 1700 | italiano | 1712 | 1764 | M | M
Dante Alighieri | Alighieri, Dante  | 1476868 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Jacopo Alighieri | Alighieri, Jacopo  | 1492888 | 1300 | italiano | ante [[1300]] | 1348 | M | M
Luigi Amabile | Amabile, Luigi  | 1706977 | 1800 | italiano | 1828 | 1892 | M | M
Giovanni Battista Amalteo | Amalteo, Giovanni Battista  | 1108185 | 1500 | italiano | 1525 | 1573 | M | M
Michele Amari | Amari, Michele  | 200521 | 1800 | italiano | 1806 | 1889 | M | M
Cosimo Amidei | Amidei, Cosimo  | 1149834 | 1700 | italiano | [[1725]] circa | dopo il [[1783]] | M | M
